scene,operator,optimal_value,optimal_stability
507,reinhard,0.2,7.6479527316987514
Ahwahnee Great Lounge,reinhard,0.2,4.622348811943084
Air Bellows Gap,reinhard,0.2,6.787337355315685
Amikeus Beaver Dam (PM1),reinhard,0.2,6.120948454365134
Amikeus Beaver Dam (PM2),reinhard,0.2,5.604031732305884
Artist Palette,reinhard,2.0,5.237622395157814
Balanced Rock,reinhard,0.5,6.107182905077934
Bandon Sunset (1),reinhard,0.2,6.705849303863943
Bandon Sunset (2),reinhard,0.2,6.437330381013453
Bar Harbor Presunrise,reinhard,0.2,6.766271921806037
Bar Harbor Sunrise,reinhard,0.2,7.371425166726112
Ben&Jerry's,reinhard,2.0,6.005175471305847
Bigfoot Pass,reinhard,2.0,5.6216509491205215
Blooming Gorse (1),reinhard,2.0,6.573160767555237
Blooming Gorse (2),reinhard,2.0,7.380912750959396
Cades Cove,reinhard,2.0,6.6508607268333435
Canadian Falls,reinhard,2.0,6.293325215578079
Cemetery Tree (1),reinhard,2.0,7.768228739500046
Cemetery Tree (2),reinhard,2.0,7.668369174003601
Delicate Arch,reinhard,2.0,6.439881056547165
Delicate Flowers,reinhard,2.0,6.153741002082825
Devil's Bathtub,reinhard,2.0,5.449430882930756
Devil's Golf Course,reinhard,2.0,6.163770973682404
Devil's Tower,reinhard,0.2,7.655012257397175
El Capitan,reinhard,2.0,7.021984353661537
Exploratorium (1),reinhard,2.0,6.788454651832581
Exploratorium (2),reinhard,2.0,7.69183187186718
Flamingo,reinhard,0.2,5.64349227398634
Four Corners Storm,reinhard,2.0,5.51700484752655
Frontier,reinhard,0.2,5.340943854302168
General Grant,reinhard,0.2,6.490382604300976
General Sherman,reinhard,2.0,7.338586211204529
Golden Gate (1),reinhard,2.0,6.5665090680122375
Golden Gate (2),reinhard,0.2,1.4759354759698908
HDR Mark,reinhard,0.2,4.506850754842162
Half Dome Sunset,reinhard,0.2,6.157672468572855
Hall of Fame,reinhard,2.0,6.326051294803619
Hancock Kitchen Inside,reinhard,0.2,4.719517516903579
Hancock Kitchen Outside,reinhard,2.0,6.791194632649422
Hancock Seed Field,reinhard,2.0,4.924945771694183
Hoover Dam,reinhard,2.0,7.04072967171669
Hoover Garage,reinhard,0.2,5.072429626248777
Jesse Brown's Cabin,reinhard,2.0,7.776765868067741
Kings Canyon,reinhard,2.0,7.356506258249283
Lab Booth,reinhard,0.2,7.712185509502888
Lab Typwriter,reinhard,0.2,2.7323283925652504
Lab Window,reinhard,2.0,7.98183012008667
Lady Bird Redwoods,reinhard,0.2,6.295528208836913
Las Vegas Store,reinhard,0.2,5.471415356732905
Letchworth Tea Table (1),reinhard,2.0,6.833551645278931
Letchworth Tea Table (2),reinhard,0.2,6.562084291130304
Little River,reinhard,0.2,7.149475082755089
Luxo Double Checker,reinhard,0.2,3.5829624608159065
M3 Middle Pond,reinhard,2.0,7.145345568656921
Mackinac Bridge,reinhard,2.0,5.489813879132271
Mammoth Hot Springs,reinhard,2.0,6.533123850822449
Mason Lake (1),reinhard,2.0,6.6141756772994995
Mason Lake (2),reinhard,2.0,6.581176847219467
McKee's Pub,reinhard,0.2,1.4215445563095273
Middle Pond,reinhard,2.0,6.772091299295425
Mirror Lake,reinhard,2.0,6.924709975719452
Mt. Rushmore (1),reinhard,0.2,6.488449409604073
Mt. Rushmore (2),reinhard,0.2,7.138827718794346
Mt. Rushmore Flags,reinhard,0.2,3.5499315554770874
Niagara Falls,reinhard,2.0,5.182251423597336
North Bubble,reinhard,2.0,7.2322458028793335
O Canada! (Lights),reinhard,0.2,6.371594969183207
O Canada! (No Lights),reinhard,0.2,7.0302591025829315
Old Faithful Inn,reinhard,0.2,7.660192988812923
Otter Point,reinhard,2.0,6.198901563882828
Paul Bunyan,reinhard,2.0,6.694237500429153
Peck Lake,reinhard,2.0,6.9478456526994705
Peppermill,reinhard,0.2,5.684438110329211
Petroglyphs,reinhard,2.0,7.013771623373032
RIT Tiger,reinhard,0.2,7.100475519895554
Redwood Sunset,reinhard,0.2,7.437310352921486
Road's End Fire Damage,reinhard,0.2,7.097225124016404
Round Barn Inside,reinhard,0.2,1.8503297166898847
Round Stone Barn,reinhard,2.0,6.050438717007637
Route 66 Museum,reinhard,0.2,6.971846261294559
Sequoia Remains,reinhard,2.0,7.756665974855423
Smoky Tunnel,reinhard,0.2,6.9166012241039425
South Branch Kings River,reinhard,0.2,6.43692843959434
Sunset Point (1),reinhard,2.0,6.584202408790588
Sunset Point (2),reinhard,2.0,6.990902364253998
Taughannock Falls,reinhard,0.2,5.571997940540314
The Grotto,reinhard,2.0,6.913726359605789
The Narrows (1),reinhard,2.0,7.733339637517929
The Narrows (2),reinhard,2.0,7.179734826087952
The Narrows (3),reinhard,2.0,7.111147791147232
Tunnel View (1),reinhard,2.0,7.3072241097688675
Tunnel View (2),reinhard,2.0,6.501333773136139
Tupper Lake (1),reinhard,2.0,4.833067625761032
Tupper Lake (2),reinhard,2.0,4.655304744839668
UR Chapel (1),reinhard,0.2,3.4835356338880956
UR Chapel (2),reinhard,0.2,3.04085103305988
Upheaval Dome,reinhard,2.0,6.283311188220978
Waffle House,reinhard,0.2,3.5891366691794246
Wall Drug,reinhard,0.2,7.004077097401023
West Branch Ausable (1),reinhard,0.2,7.362297900021076
West Branch Ausable (2),reinhard,0.2,6.902180165052414
Willy Desk,reinhard,2.0,7.5779919028282166
Willy Sentinel,reinhard,2.0,6.901815950870514
Yosemite Falls,reinhard,0.2,6.951524894684553
Zentrum,reinhard,0.2,1.8042773525376106
